DATE,PRECIP (inches),DISCHARGE (cubic feet/sec)
1/1/2019,0.09,44600
1/2/2019,0,40000
1/3/2019,0,30400
1/4/2019,0,27800
1/5/2019,0.95,32300
1/6/2019,0.01,50700
1/7/2019,0,34300
1/8/2019,0.17,21700
1/9/2019,0.06,52300
1/10/2019,0,58000
1/11/2019,0,39800
1/12/2019,0,31400
1/13/2019,0,29100
1/14/2019,0,23700
1/15/2019,0,27100
1/16/2019,0,32300
1/17/2019,0,27900
1/18/2019,0.01,21200
1/19/2019,0.14,28800
1/20/2019,0.57,42700
1/21/2019,0,40400
1/22/2019,0,19400
1/23/2019,0.01,13300
1/24/2019,1.22,38900
1/25/2019,0,77200
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0.35
1/30/2019,0
1/31/2019,0
